study_hours_daily,mock_test_avg,physics_accuracy_pct,chemistry_accuracy_pct,biology_accuracy_pct,revision_cycles,attendance_pct,sleep_hours,dropper_years,coaching_type,exam_medium,school_board,neet_marks,neet_rank
7.15,349.6,47.3,72.7,66.9,2,67.7,6.5,0,none,english,cbse,370,158983
8.01,435.5,84.6,73.6,85.9,7,70.2,5.28,0,none,hindi,state,498,30126
4.22,349.9,58.5,58.3,53.3,2,59.2,6.79,1,none,english,cbse,342,207478
6.61,490.4,65.2,79.0,82.7,5,81.7,8.0,0,none,english,cbse,491,31984
7.88,422.6,59.7,88.0,76.3,5,99.7,7.48,0,offline,english,cbse,475,40482
5.23,271.6,40.9,62.8,62.7,2,66.3,7.18,1,hybrid,hindi,cbse,270,402572
6.23,472.6,74.9,77.3,79.3,5,96.1,7.03,0,offline,hindi,cbse,507,25617
6.46,309.0,54.7,63.3,75.3,3,73.4,6.84,1,hybrid,hindi,cbse,378,142666
7.94,549.7,73.8,83.0,99.0,5,97.2,7.51,0,offline,english,cbse,541,13203
4.11,346.1,53.7,74.4,69.0,2,71.6,7.87,1,hybrid,hindi,cbse,377,145610
6.56,521.2,95.7,89.7,83.1,5,80.4,6.11,0,none,hindi,cbse,564,8427
5.64,284.5,53.1,49.8,62.2,5,73.4,6.98,0,offline,english,cbse,282,366405
6.06,227.3,35.2,53.0,44.3,3,69.4,6.81,2,none,english,cbse,290,342330
7.0,454.9,77.0,83.8,77.4,3,88.2,7.82,0,offline,english,cbse,500,28504
4.22,240.3,46.9,40.1,58.3,2,75.6,8.09,1,hybrid,english,state,264,425653
4.28,291.0,36.6,45.0,53.8,3,73.9,6.76,0,none,english,cbse,266,414906
6.42,513.1,80.4,75.8,86.7,5,99.5,7.45,0,online,english,state,508,23002
5.94,396.0,58.9,72.9,78.9,3,87.3,7.61,1,online,hindi,cbse,439,69164
7.67,463.9,65.8,68.2,85.5,6,83.1,6.88,1,none,english,icse,510,21022
10.1,476.7,61.7,66.0,71.2,3,72.4,6.71,2,offline,english,state,427,79535
5.71,520.7,79.6,88.3,80.2,5,82.4,8.12,1,hybrid,hindi,cbse,572,6730
6.97,360.0,40.9,65.9,64.3,1,81.6,6.67,0,online,regional,cbse,347,201340
4.76,207.7,30.8,24.1,44.4,2,66.5,8.12,1,offline,english,state,189,751039
3.86,363.6,41.6,57.9,63.8,2,83.9,8.14,2,offline,regional,cbse,396,116984
5.84,359.6,47.5,40.8,65.2,4,83.5,7.32,2,offline,english,cbse,348,198392
7.41,454.7,94.7,77.4,75.5,8,94.3,6.41,1,none,hindi,cbse,544,10419
7.57,441.6,78.2,87.1,94.1,5,91.4,7.32,1,none,hindi,cbse,525,18219
5.93,326.9,52.3,50.3,48.3,4,66.7,7.35,1,offline,regional,cbse,287,349427
7.65,366.5,59.6,55.8,68.8,5,82.6,5.79,0,hybrid,english,state,381,135915
9.04,561.7,91.7,79.2,97.0,6,92.8,7.22,0,offline,english,cbse,611,1
6.52,334.0,60.7,81.0,75.5,3,72.2,6.61,1,hybrid,hindi,cbse,404,106455
6.78,449.3,78.0,86.3,73.6,6,92.5,7.4,0,hybrid,english,cbse,511,22616
8.73,418.1,66.1,72.3,80.8,5,70.9,7.79,0,offline,hindi,cbse,473,40474
5.16,433.7,66.1,72.6,82.3,3,78.7,5.94,0,none,english,cbse,403,108743
6.78,331.5,52.9,55.3,64.1,2,74.0,6.3,0,none,english,cbse,313,277977
3.52,259.2,33.3,44.6,48.3,2,62.2,6.56,1,hybrid,english,cbse,248,482040
4.86,471.7,72.7,75.7,71.8,4,78.7,6.57,0,online,english,cbse,460,52041
7.38,492.4,82.8,83.7,93.3,5,87.5,7.07,0,hybrid,english,cbse,540,12754
2.56,256.9,40.5,34.2,43.9,3,65.9,7.21,0,online,english,cbse,257,447005
7.54,579.0,79.2,91.8,84.6,6,95.9,5.88,1,hybrid,hindi,state,592,4471
5.13,121.6,50.5,50.0,44.4,2,64.2,6.08,0,offline,regional,cbse,177,815089
2.72,192.8,30.9,36.1,37.1,0,64.9,5.77,0,none,hindi,state,202,684975
6.33,263.8,49.7,39.2,64.5,4,73.3,7.52,0,offline,english,cbse,320,259929
3.61,365.3,54.6,66.8,53.7,5,68.5,6.89,2,online,english,state,397,114679
7.02,454.6,73.5,58.1,71.9,7,66.2,6.11,0,hybrid,english,state,454,53997
4.94,394.7,59.2,52.4,73.3,2,83.1,6.71,2,hybrid,english,cbse,390,126731
5.64,351.8,63.1,51.9,62.0,3,78.8,7.14,0,online,english,cbse,315,270968
5.41,334.8,53.8,61.8,56.4,2,78.5,6.77,0,none,hindi,cbse,347,198913
7.44,533.2,81.1,75.4,89.2,7,72.0,7.57,1,online,hindi,icse,585,4677
4.79,263.3,53.5,42.9,56.2,1,70.2,7.48,0,offline,regional,cbse,259,440218
3.82,347.3,50.7,62.1,68.0,3,75.6,7.14,0,online,hindi,icse,331,231154
6.09,326.5,50.0,40.8,52.5,1,71.4,6.29,0,none,hindi,state,262,433205
4.38,375.2,86.4,69.9,69.7,4,86.5,8.04,0,online,english,cbse,449,60676
5.57,541.4,69.9,84.7,88.5,5,83.6,7.65,0,offline,english,cbse,580,4424
7.38,582.2,88.9,88.6,84.6,6,77.5,5.53,0,offline,hindi,state,621,1
5.53,527.6,69.9,66.2,76.0,4,76.8,7.77,0,hybrid,regional,cbse,498,25026
6.95,432.2,55.7,75.3,70.9,3,79.0,7.39,0,offline,english,cbse,392,121837
4.74,351.9,63.4,48.3,57.5,4,79.1,7.58,0,hybrid,regional,state,401,110988
6.78,464.8,66.2,82.1,82.0,5,86.1,7.53,1,online,english,cbse,468,46818
5.18,333.5,46.5,54.3,48.9,3,66.0,7.4,0,none,english,cbse,307,292584
7.38,433.8,82.1,71.8,66.5,3,90.5,8.02,0,offline,english,cbse,471,44426
5.19,373.0,59.3,68.4,74.1,4,68.7,7.06,0,offline,english,cbse,369,157166
5.26,481.1,78.8,81.5,64.8,5,100.0,5.08,2,hybrid,english,cbse,525,16959
6.21,496.1,85.5,85.3,97.8,4,87.8,7.44,0,none,hindi,cbse,576,3769
5.66,194.6,44.7,44.2,42.3,1,61.2,7.84,0,none,english,cbse,201,688137
7.28,398.0,71.3,73.2,82.8,5,78.0,6.99,2,online,hindi,cbse,446,62917
5.21,436.4,67.4,72.7,73.9,1,71.4,6.78,0,online,english,state,446,64649
6.23,418.0,66.3,78.9,63.1,3,75.9,7.81,0,online,hindi,state,435,71464
6.36,476.3,65.0,72.9,74.9,3,87.8,7.26,1,none,english,icse,489,33217
6.99,400.3,75.0,72.1,63.8,3,89.4,5.62,0,hybrid,hindi,cbse,449,60046
7.38,542.1,99.0,85.0,78.9,6,86.1,6.73,0,none,english,cbse,608,1587
7.0,552.8,68.9,92.5,85.1,7,89.4,6.14,0,none,english,cbse,564,10021
7.32,461.3,47.5,60.0,50.5,5,68.2,7.03,2,hybrid,english,state,401,110482
7.04,382.8,41.1,55.1,52.9,2,80.1,6.36,2,offline,hindi,icse,353,188298
3.12,261.9,37.2,45.5,47.4,4,63.6,8.57,0,hybrid,english,cbse,267,412989
6.5,535.0,77.2,76.9,89.0,4,99.0,5.69,0,none,hindi,cbse,536,13310
7.29,242.0,52.6,46.1,45.5,3,72.5,8.53,0,none,hindi,cbse,274,391803
7.02,386.0,44.7,69.3,61.7,4,73.3,8.66,2,none,english,state,392,124615
7.52,384.4,57.5,80.4,69.6,6,71.1,6.47,0,online,regional,state,420,87413
5.93,298.8,46.8,55.8,64.3,4,85.4,6.65,0,hybrid,hindi,cbse,321,254906
7.06,438.0,69.8,63.4,85.4,6,82.1,7.49,2,none,regional,cbse,439,71641
5.47,563.9,84.0,82.4,97.0,5,91.0,8.08,1,hybrid,hindi,cbse,601,1964
2.25,183.7,20.6,18.2,35.9,3,70.8,6.91,0,offline,regional,cbse,168,866527
5.66,367.7,53.8,67.6,55.4,5,74.7,6.82,0,none,regional,cbse,384,135201
4.58,350.1,45.3,51.2,64.0,4,72.0,8.38,1,offline,english,state,350,191653
6.23,403.0,60.3,60.8,86.0,4,73.7,7.58,0,hybrid,english,state,447,62698
6.32,330.8,53.9,50.6,64.8,2,60.3,6.98,2,online,english,cbse,310,284355
5.53,362.0,53.2,60.8,52.4,4,82.4,7.02,0,none,english,cbse,399,113864
5.38,302.5,55.5,72.1,66.0,4,69.2,8.44,0,hybrid,hindi,state,370,154625
8.34,402.6,60.1,71.6,62.1,3,73.8,6.69,2,none,english,cbse,415,93066
7.83,423.7,58.2,72.4,61.5,2,80.9,6.34,2,offline,english,icse,424,82426
4.63,349.3,60.3,57.6,62.8,5,69.0,7.47,0,none,english,cbse,346,199770
8.52,469.7,76.5,72.9,74.7,6,82.8,7.34,1,hybrid,hindi,state,527,14749
6.33,529.9,75.2,99.0,80.4,7,78.2,6.4,1,online,english,cbse,541,12481
6.99,473.5,57.8,85.8,89.3,7,75.0,7.16,1,offline,english,cbse,536,14261
8.01,483.5,92.6,91.6,99.0,6,91.3,6.88,0,offline,english,cbse,589,5093
5.72,342.2,55.3,64.0,62.2,1,72.5,7.47,2,online,english,cbse,354,184831
6.51,395.8,72.6,75.7,63.0,6,80.6,7.92,1,none,regional,state,418,91988
4.24,335.4,51.5,58.0,48.6,3,84.8,7.53,1,offline,hindi,icse,340,213742
6.5,546.5,83.1,79.9,79.8,7,84.8,7.68,0,none,english,cbse,546,13653
4.1,349.5,59.9,84.2,73.9,3,82.6,6.84,0,offline,english,cbse,401,110604
6.32,525.5,76.9,84.9,79.8,6,75.6,7.18,0,offline,hindi,cbse,540,12403
4.61,338.6,62.1,50.0,47.0,1,69.1,6.58,0,hybrid,english,cbse,330,237816
8.04,503.4,76.9,80.9,81.4,7,85.1,6.12,1,offline,english,cbse,562,6103
6.02,557.7,80.5,73.5,95.7,4,86.8,7.68,0,none,english,state,513,22639
4.01,177.3,28.2,39.2,41.8,2,78.3,7.3,0,offline,regional,cbse,161,909995
4.58,201.6,32.4,47.2,40.4,2,64.4,7.69,0,hybrid,english,cbse,262,430944
7.32,522.7,78.2,84.0,83.9,4,89.5,6.82,1,offline,english,state,514,20390
5.71,311.0,69.8,60.4,65.9,3,79.2,6.53,0,hybrid,hindi,state,390,125133
6.33,406.8,63.8,58.2,64.5,3,76.8,8.69,1,none,english,cbse,403,108188
1.27,236.4,41.8,51.8,51.2,2,67.0,7.01,0,none,hindi,icse,246,491115
4.69,347.3,62.9,73.3,67.3,4,84.5,7.05,0,none,english,state,391,125195
8.66,468.6,55.9,73.6,65.9,3,73.8,8.37,0,online,hindi,state,443,61256
7.7,533.8,78.1,82.4,82.0,5,99.2,6.81,0,none,regional,cbse,514,22404
6.99,612.4,79.9,90.3,99.0,7,95.9,6.82,0,offline,english,cbse,654,488
4.92,227.4,52.7,46.2,45.5,1,77.3,7.04,1,hybrid,english,state,270,405277
6.15,390.1,49.1,64.9,78.5,4,81.0,5.84,0,none,regional,cbse,405,104732
8.15,507.8,53.6,55.7,59.1,3,68.7,6.32,1,offline,hindi,cbse,445,63402
6.56,455.3,51.3,66.3,76.3,6,75.6,7.61,2,offline,english,cbse,452,56621
6.16,468.6,63.6,63.5,80.9,5,80.9,6.65,1,hybrid,english,cbse,487,35767
4.81,376.6,30.7,56.2,56.5,2,65.9,5.77,0,offline,regional,cbse,305,298400
4.48,250.0,55.0,67.0,60.8,6,73.1,6.33,0,online,hindi,cbse,339,214612
4.51,285.9,56.5,50.3,46.5,4,66.6,7.66,0,online,hindi,cbse,319,264128
4.45,226.0,31.8,33.2,50.8,1,65.9,7.2,0,offline,english,icse,219,601671
4.47,299.6,58.8,44.4,55.9,6,67.0,8.83,0,online,english,cbse,341,211526
5.75,399.9,61.5,68.6,72.4,4,78.3,6.17,0,hybrid,english,cbse,434,76570
9.31,543.1,81.4,91.0,91.8,3,98.5,6.78,0,none,hindi,cbse,575,5424
6.01,466.3,88.0,83.0,84.0,7,83.6,6.75,0,offline,english,cbse,517,19912
7.55,568.5,92.0,67.7,78.8,6,91.2,6.8,0,hybrid,hindi,cbse,575,5551
4.16,341.8,42.1,49.6,49.8,5,67.0,6.26,1,online,english,cbse,312,278030
6.56,371.8,46.4,76.0,58.6,4,81.4,6.45,0,none,english,state,380,141915
8.34,537.6,77.4,84.2,88.1,4,84.6,7.67,0,none,english,cbse,540,12095
6.63,542.7,99.0,72.8,93.8,4,95.6,6.89,0,offline,hindi,state,554,8350
5.53,433.6,62.7,66.2,60.1,4,69.8,7.98,0,none,english,state,427,81263
5.26,233.7,54.1,33.0,66.7,2,60.7,6.96,0,hybrid,hindi,cbse,275,386120
5.3,296.8,51.5,59.9,69.4,2,81.6,7.54,0,offline,regional,cbse,321,255964
7.16,366.6,58.7,64.5,63.7,3,86.8,6.65,0,online,english,state,372,152568
5.12,518.2,66.5,73.4,72.4,4,91.1,7.08,0,offline,english,state,530,16360
8.28,498.0,84.3,80.1,82.7,5,90.7,6.19,0,offline,english,cbse,520,19624
8.12,325.2,62.3,81.2,76.3,0,74.0,6.98,0,none,hindi,cbse,388,126757
8.75,601.5,76.9,89.1,95.4,4,82.7,8.07,2,offline,hindi,state,621,1
6.51,512.5,77.9,81.9,86.5,5,88.8,7.19,0,hybrid,english,state,548,11397
6.42,551.7,73.5,91.8,95.1,5,82.9,8.21,0,online,regional,state,526,17015
4.47,307.9,49.1,57.5,60.9,3,67.7,7.76,0,offline,english,cbse,324,248441
7.65,455.1,62.7,78.2,76.5,4,87.5,7.04,1,offline,hindi,cbse,479,41212
2.6,260.4,42.4,67.9,58.1,2,63.8,6.76,0,none,english,cbse,305,296960
4.48,299.9,53.1,47.6,66.6,3,69.2,6.97,0,hybrid,english,cbse,365,169223
7.38,461.2,88.5,95.2,95.7,7,88.6,7.6,0,none,english,icse,522,18832
6.87,287.8,54.1,61.5,60.2,3,74.5,6.12,1,online,english,cbse,345,204715
6.58,243.4,48.5,38.1,57.7,0,67.8,6.85,0,offline,hindi,cbse,248,483270
6.77,447.1,68.4,85.3,77.5,7,96.2,7.53,0,offline,hindi,state,518,21226
4.23,330.1,50.2,54.0,51.7,5,82.3,7.47,0,offline,english,cbse,377,144543
5.39,337.3,41.1,53.7,59.0,2,80.5,9.24,1,hybrid,english,cbse,329,238597
5.28,327.3,52.6,67.0,59.3,4,76.9,7.63,0,offline,regional,cbse,349,197941
8.41,452.6,90.6,84.5,83.2,4,100.0,6.89,0,offline,english,cbse,534,14332
3.59,190.2,33.1,26.4,38.7,2,68.1,7.03,0,offline,english,cbse,170,856979
6.22,539.0,80.7,92.3,93.6,6,94.2,6.73,0,online,english,cbse,596,4189
7.19,528.7,92.9,72.0,85.8,6,78.6,6.69,0,online,english,cbse,553,11781
5.66,378.2,47.6,59.7,59.8,4,80.6,7.44,1,none,hindi,cbse,365,164126
4.55,340.5,64.9,65.1,54.4,4,77.5,9.24,0,none,english,state,383,135439
3.55,284.1,50.7,40.1,46.1,4,72.8,7.26,0,none,hindi,state,291,336921
6.32,555.4,82.5,95.0,91.0,7,99.5,7.14,0,hybrid,hindi,icse,641,1
5.36,264.0,44.6,46.0,55.9,3,73.6,7.03,0,offline,hindi,icse,293,331849
4.69,253.4,59.0,30.0,55.7,2,68.5,7.04,0,none,regional,state,263,425119
5.09,335.9,60.7,62.7,59.0,4,90.0,6.15,0,hybrid,english,cbse,316,270610
8.45,572.3,93.3,83.8,92.4,5,84.8,6.35,0,hybrid,hindi,state,594,3082
6.13,520.8,99.0,75.0,76.9,6,95.7,6.72,2,hybrid,hindi,cbse,582,5727
4.18,325.8,46.4,51.2,52.2,1,70.6,8.45,0,hybrid,english,state,288,346095
6.11,312.6,57.6,62.0,67.9,4,79.7,6.23,1,offline,english,cbse,378,144194
5.64,248.6,57.7,38.9,45.4,4,62.3,7.23,1,offline,english,state,268,410285
3.86,196.1,34.9,45.8,38.9,3,73.9,7.84,0,offline,english,state,209,649602
7.79,416.0,66.8,75.6,70.1,4,74.9,7.09,1,offline,english,state,413,94988
5.26,425.5,69.1,57.5,82.8,2,78.1,6.45,0,offline,english,icse,397,116781
4.76,241.5,22.3,50.6,52.8,0,67.0,7.18,0,online,english,cbse,201,685732
7.82,442.0,54.7,63.4,88.9,2,75.1,5.02,0,none,english,icse,450,60140
3.58,312.5,42.4,48.9,56.4,2,78.8,8.13,0,offline,english,icse,333,229073
4.69,301.6,49.1,42.2,48.9,2,77.4,7.59,0,hybrid,english,state,289,342831
6.33,420.4,57.7,56.0,66.1,3,75.0,6.33,0,hybrid,hindi,cbse,431,75128
4.05,337.3,56.8,69.4,66.1,4,81.6,8.08,0,none,english,cbse,391,122755
8.05,550.0,94.2,82.7,89.6,7,88.9,6.76,0,none,hindi,cbse,608,4660
5.1,411.5,67.3,69.5,73.7,5,89.7,7.47,0,none,english,state,421,84249
3.79,330.2,29.6,55.5,60.1,5,56.0,7.4,0,none,english,state,311,278461
6.75,496.7,77.7,76.9,71.6,3,92.3,6.77,1,offline,hindi,cbse,487,34937
6.02,393.5,65.9,73.6,74.1,4,84.6,6.65,2,online,regional,state,452,56920
7.43,444.8,72.4,76.9,80.1,4,80.5,7.86,0,none,english,state,446,61707
6.07,336.0,59.0,40.6,73.1,4,77.9,7.04,2,online,hindi,state,356,178374
9.96,511.1,79.6,70.5,85.7,4,80.6,6.27,2,online,english,state,490,34281
3.43,264.5,41.5,65.5,55.5,2,62.0,7.21,0,hybrid,english,cbse,307,294067
7.75,493.9,69.3,73.6,75.8,4,90.5,7.17,2,offline,english,cbse,472,42401
5.65,367.7,59.2,60.0,55.2,4,86.9,7.3,1,hybrid,english,state,356,179829
3.38,338.8,21.9,55.4,60.8,4,62.7,8.06,1,online,hindi,cbse,260,439070
7.58,396.3,75.9,78.3,75.3,1,87.1,7.25,0,online,regional,cbse,480,37633
4.73,301.6,52.1,37.1,61.1,2,73.9,7.4,1,online,hindi,state,297,322332
4.57,319.9,69.1,61.7,61.9,6,66.3,7.57,0,none,english,state,380,141806
7.12,458.8,69.9,71.9,77.5,6,78.3,7.49,1,offline,hindi,cbse,464,49655
8.05,465.9,83.3,69.2,84.0,6,81.2,5.9,0,offline,english,cbse,523,17692
5.89,432.3,72.0,72.1,72.4,3,84.6,6.9,1,hybrid,regional,cbse,444,64341
5.45,299.5,54.1,56.9,47.7,2,68.2,6.24,1,offline,english,cbse,282,363033
6.55,359.5,69.8,59.6,62.6,4,76.9,6.51,0,offline,hindi,cbse,389,126931
4.2,207.4,22.5,59.4,42.2,2,72.9,7.21,0,online,english,cbse,206,662886
6.09,289.6,62.5,68.5,74.6,2,80.8,6.97,0,none,hindi,state,356,182673
5.49,377.4,55.2,68.9,72.1,3,75.0,6.9,0,hybrid,english,cbse,347,199750
6.4,540.6,72.0,85.2,84.0,9,96.7,6.77,2,online,english,icse,597,1497
5.86,336.5,60.1,70.9,76.7,4,85.3,6.29,1,none,english,cbse,407,102623
4.61,329.2,37.6,51.1,63.4,1,79.0,6.64,1,offline,english,cbse,325,245984
6.54,474.1,57.2,59.1,76.1,7,88.8,5.68,1,hybrid,english,cbse,481,37072
4.79,377.6,42.3,51.0,64.8,3,68.4,6.8,0,online,hindi,cbse,347,198618
6.72,525.9,68.6,77.9,72.3,7,90.9,6.89,0,online,english,cbse,533,13135
5.05,319.2,62.7,71.9,66.9,5,74.7,7.08,0,hybrid,regional,cbse,381,140693
6.68,353.9,70.1,62.6,68.7,0,77.2,7.6,0,none,hindi,state,353,185151
6.51,369.0,74.9,68.2,73.0,1,76.5,7.72,1,offline,hindi,cbse,419,90083
5.21,403.9,58.9,69.7,72.8,4,79.9,6.98,1,online,english,state,388,130779
6.94,375.9,66.7,72.6,64.7,4,65.1,6.71,0,none,english,state,396,118540
5.57,478.8,72.2,64.6,86.1,5,87.3,8.27,0,offline,english,cbse,496,31078
2.93,228.8,41.8,35.6,45.7,4,68.4,7.42,0,offline,english,state,234,537246
6.69,406.3,62.6,77.3,63.7,3,79.1,6.78,0,offline,regional,cbse,420,85498
5.07,359.3,69.0,51.2,69.8,2,69.0,7.4,0,online,english,cbse,331,235953
7.61,538.7,90.4,91.6,95.5,5,86.4,7.63,0,hybrid,hindi,cbse,662,1
5.8,463.3,72.6,91.8,85.0,3,84.1,7.56,1,hybrid,hindi,cbse,489,32236
5.37,242.4,61.6,63.6,77.0,3,78.7,7.5,1,online,english,cbse,327,242695
7.31,488.5,79.7,99.0,94.5,7,97.7,6.94,0,hybrid,english,state,573,5035
5.54,443.1,70.5,79.4,59.6,6,76.1,6.89,0,online,english,cbse,488,33557
6.12,518.5,76.0,84.5,82.5,4,91.8,8.83,0,hybrid,hindi,cbse,558,9290
7.36,466.5,60.7,83.2,83.9,6,83.1,5.34,1,offline,english,cbse,515,20325
9.51,625.0,85.2,79.7,85.3,4,89.1,6.49,2,offline,hindi,cbse,580,6346
4.91,321.2,73.3,56.6,70.6,5,79.7,7.36,0,none,english,icse,395,116922
4.5,498.7,82.0,83.8,79.2,5,87.0,6.95,0,offline,english,state,535,16185
7.1,317.8,51.8,38.8,60.1,2,74.9,6.31,2,none,hindi,state,334,224520
6.26,545.6,74.8,86.6,83.9,6,83.6,6.6,0,hybrid,english,cbse,591,2014
5.62,502.5,66.5,91.7,68.7,4,86.4,6.74,0,offline,english,icse,518,20090
5.5,406.7,75.5,70.6,70.4,5,82.5,7.68,0,none,hindi,cbse,439,67050
3.76,337.2,51.1,61.8,71.3,3,66.5,7.29,0,online,english,state,341,212039
7.32,592.3,73.2,76.2,89.4,6,97.0,6.71,1,none,hindi,cbse,552,5911
6.06,529.9,51.0,72.7,74.9,5,86.6,7.34,0,online,english,state,464,49150
7.05,484.0,60.4,71.0,68.9,6,83.6,5.78,1,none,english,cbse,475,40343
5.55,357.6,51.6,63.0,73.0,3,75.1,6.85,1,online,english,cbse,423,85375
1.13,236.2,22.3,43.7,51.1,3,54.4,7.06,0,hybrid,english,state,281,371715
5.51,484.2,69.4,76.3,89.7,5,90.9,6.93,0,hybrid,english,cbse,532,14935
5.82,329.6,37.4,51.6,59.5,3,89.4,6.28,0,offline,regional,state,349,196074
7.11,576.8,71.6,87.5,93.8,4,71.5,7.57,2,offline,english,cbse,545,14406
7.54,466.3,90.9,92.4,81.7,7,94.6,6.3,0,hybrid,english,cbse,549,9746
5.45,475.9,54.0,72.7,70.3,5,75.2,6.19,0,none,english,state,414,96126
5.85,306.3,50.4,44.6,56.5,1,74.4,6.81,1,none,english,icse,289,344493
4.92,287.6,48.0,46.4,53.0,4,61.8,6.94,1,none,hindi,icse,292,334874
4.41,415.3,71.2,72.7,70.8,7,85.7,7.49,0,online,english,icse,448,58734
4.69,392.4,64.8,61.1,72.5,3,89.3,8.21,0,none,english,cbse,390,127968
2.4,247.9,50.1,37.4,62.0,1,67.0,7.52,0,offline,hindi,state,274,390718
6.81,474.1,62.9,67.3,72.4,6,83.1,7.4,0,none,hindi,cbse,506,24536
2.79,307.5,38.7,28.6,55.0,1,69.4,7.0,0,hybrid,english,cbse,303,303209
5.52,346.1,62.8,55.1,50.3,4,68.8,6.24,2,offline,regional,cbse,370,157428
6.38,356.2,64.4,65.6,81.0,5,80.5,7.42,1,offline,hindi,cbse,441,64301
4.35,213.0,25.4,48.9,49.4,2,70.9,8.43,0,none,english,cbse,244,498109
4.14,289.7,51.6,44.1,56.7,3,80.3,7.01,0,offline,english,cbse,319,262943
4.01,372.8,65.8,56.2,62.0,5,72.0,7.13,1,online,hindi,state,378,143849
4.86,463.9,70.8,71.0,66.3,5,85.9,7.84,0,none,regional,cbse,450,58152
4.91,419.1,57.1,58.1,56.7,3,75.9,7.7,1,none,regional,cbse,361,170810
1.55,293.7,47.0,40.8,47.8,2,74.2,7.28,0,online,english,state,240,515438
6.22,366.5,68.3,60.2,93.8,5,84.3,7.93,0,offline,regional,cbse,456,55456
6.72,410.7,58.6,53.9,85.1,7,81.6,6.42,0,online,english,cbse,453,58198
3.65,262.6,31.2,45.5,58.8,4,75.5,7.46,0,offline,english,cbse,255,454815
7.24,404.5,61.7,71.1,72.7,7,69.4,6.18,0,online,english,cbse,471,44252
7.92,612.9,96.7,77.1,99.0,6,96.9,6.9,1,offline,regional,cbse,609,2380
5.96,332.6,36.0,41.5,56.3,4,73.4,7.46,1,hybrid,hindi,cbse,286,351689
7.49,384.7,62.9,74.8,66.9,5,93.2,6.6,0,hybrid,english,cbse,411,100094
8.04,612.8,91.2,97.0,99.0,9,81.2,6.77,1,online,english,cbse,677,851
2.52,257.1,46.5,42.3,57.3,3,71.3,7.6,0,offline,english,cbse,277,377735
4.9,308.7,41.3,46.2,57.5,4,63.0,7.43,0,offline,english,cbse,251,469649
7.5,463.6,88.6,91.5,83.4,5,79.8,6.53,0,online,hindi,state,525,16404
4.08,325.4,43.1,54.3,55.9,2,58.3,8.49,0,offline,english,cbse,279,372992
5.3,279.1,50.6,56.7,61.4,5,73.2,7.23,1,online,regional,state,271,401069
4.99,297.1,59.7,47.4,61.2,3,69.8,7.56,0,online,regional,state,326,246628
6.54,567.8,79.4,78.4,88.0,6,90.4,6.15,1,hybrid,hindi,state,572,6723
4.98,279.4,54.5,59.1,49.4,2,72.0,7.45,1,online,english,cbse,326,246683
4.07,289.8,46.7,47.8,66.0,4,70.7,6.55,1,online,english,state,311,279720
6.74,417.3,59.4,65.9,74.4,2,81.3,7.74,2,hybrid,regional,state,440,67286
6.71,539.5,80.8,92.0,96.2,4,100.0,7.21,0,none,hindi,state,618,1
5.41,415.5,81.1,78.0,85.9,6,82.2,6.74,0,offline,english,cbse,497,29997
4.58,469.2,72.9,64.8,72.5,4,78.3,7.21,1,offline,english,state,477,39986
